G	0.333333333	0.733333333	0.466666667	0.533333333	0.266666667	0.4	0.4	0.533333333	0.533333333	0.533333333	0.333333333	0.866666667	0.2	0.733333333	0.333333333	0.533333333
I	0.266666667	0.466666667	0.4	0.533333333	0.333333333	0.533333333	0.533333333	0.333333333	0.4	0.466666667	0.466666667	0.466666667	0.266666667	0.533333333	0.6	0.6
E	0.333333333	0.6	0.4	0.533333333	0.466666667	0.4	0.533333333	0.266666667	0.266666667	0.533333333	0.466666667	0.6	0.333333333	0.666666667	0.6	0.733333333
A	0.266666667	0.6	0.4	0.4	0.2	0.733333333	0.133333333	0.2	0.2	0.666666667	0.133333333	0.6	0.133333333	0.4	0.2	0.533333333
L	0.266666667	0.666666667	0.4	0.466666667	0.466666667	0.4	0.466666667	0.2	0.4	0.466666667	0.466666667	0.733333333	0.333333333	0.733333333	0.4	0.333333333
T	0.466666667	0.8	0.4	0.4	0.2	0.333333333	0.733333333	0.133333333	0.4	0.733333333	0.533333333	0.4	0.133333333	0.6	0.333333333	0.2
X	0.466666667	0.866666667	0.533333333	0.466666667	0.266666667	0.466666667	0.533333333	0.133333333	0.533333333	0.733333333	0.4	0.533333333	0.266666667	0.533333333	0.266666667	0.466666667
F	0.333333333	0.733333333	0.333333333	0.533333333	0.266666667	0.066666667	0.866666667	0.266666667	0.266666667	0.8	0.666666667	0.466666667	0	0.533333333	0.133333333	0.4
D	0.333333333	0.6	0.333333333	0.466666667	0.333333333	0.333333333	0.466666667	0.6	0.466666667	0.4	0.266666667	0.333333333	0.2	0.6	0.266666667	0.6
K	0.4	0.6	0.6	0.4	0.333333333	0.333333333	0.466666667	0.133333333	0.533333333	0.666666667	0.6	0.733333333	0.266666667	0.466666667	0.266666667	0.466666667
X	0.4	0.6	0.4	0.266666667	0.2	0.533333333	0.466666667	0.133333333	0.533333333	0.6	0.4	0.533333333	0.266666667	0.6	0.266666667	0.533333333
M	0.666666667	0.933333333	0.733333333	0.533333333	0.333333333	0.866666667	0.066666667	0.333333333	0.2	0.866666667	0.066666667	0.6	0.4	0.2	0.066666667	0.6
S	0.4	0.8	0.4	0.466666667	0.2	0.533333333	0.4	0.2	0.266666667	0.866666667	0.4	0.533333333	0.133333333	0.6	0.2	0.533333333
I	0.2	0.6	0.333333333	0.4	0.4	0.666666667	0.4	0.133333333	0.333333333	0.533333333	0.333333333	0.333333333	0.2	0.533333333	0.333333333	0.466666667
O	0.333333333	0.733333333	0.4	0.533333333	0.6	0.6	0.6	0.4	0.133333333	0.4	0.466666667	0.6	0.8	0.8	0.4	0.466666667
N	0.466666667	0.733333333	0.6	0.4	0.266666667	0.333333333	0.533333333	0.133333333	0.266666667	0.8	0.466666667	0.6	0.4	0.533333333	0	0.466666667
B	0.333333333	0.6	0.466666667	0.466666667	0.4	0.466666667	0.6	0.333333333	0.4	0.666666667	0.4	0.4	0.2	0.533333333	0.466666667	0.533333333
H	0.4	0.666666667	0.4	0.4	0.266666667	0.333333333	0.533333333	0.2	0.266666667	0.666666667	0.6	0.6	0.4	0.666666667	0.333333333	0.533333333
C	0.533333333	0.866666667	0.333333333	0.533333333	0.133333333	0.533333333	0.4	0.466666667	0.466666667	0.8	0.333333333	0.6	0.133333333	0.666666667	0.333333333	0.6
B	0.4	0.6	0.333333333	0.333333333	0.333333333	0.533333333	0.533333333	0.2	0.333333333	0.6	0.333333333	0.466666667	0.4	0.333333333	0.466666667	0.466666667
R	0.333333333	0.666666667	0.4	0.466666667	0.466666667	0.533333333	0.466666667	0.466666667	0.266666667	0.533333333	0.333333333	0.466666667	0.266666667	0.466666667	0.466666667	0.666666667
P	0.466666667	0.733333333	0.666666667	0.533333333	0.466666667	0.6	0.466666667	0.2	0.4	0.8	0.266666667	0.333333333	0.333333333	0.6	0.333333333	0.6
F	0.333333333	0.6	0.266666667	0.333333333	0.133333333	0.466666667	0.6	0.2	0.333333333	0.8	0.4	0.333333333	0.133333333	0.533333333	0.4	0.4
R	0.466666667	0.733333333	0.6	0.533333333	0.6	0.6	0.533333333	0.266666667	0.333333333	0.666666667	0.266666667	0.466666667	0.2	0.466666667	0.333333333	0.733333333
M	0.466666667	0.666666667	0.6	0.533333333	0.533333333	0.533333333	0.4	0.4	0.333333333	0.4	0.533333333	0.533333333	0.6	0.4	0.133333333	0.466666667
E	0.333333333	0.533333333	0.466666667	0.4	0.333333333	0.266666667	0.6	0.133333333	0.533333333	0.666666667	0.533333333	0.6	0.2	0.6	0.266666667	0.4
G	0.466666667	1	0.4	0.533333333	0.333333333	0.533333333	0.466666667	0.266666667	0.266666667	0.533333333	0.4	0.466666667	0.266666667	0.6	0.6	0.533333333
R	0.333333333	0.733333333	0.4	0.533333333	0.466666667	0.4	0.533333333	0.6	0.333333333	0.4	0.333333333	0.533333333	0.133333333	0.533333333	0.533333333	0.6
C	0.4	0.6	0.533333333	0.533333333	0.533333333	0.333333333	0.6	0.266666667	0.4	0.4	0.4	0.733333333	0.266666667	0.733333333	0.533333333	0.6
K	0.466666667	0.666666667	0.666666667	0.533333333	0.4	0.266666667	0.6	0.133333333	0.466666667	0.666666667	0.6	0.666666667	0.333333333	0.4	0.266666667	0.333333333
