T	2	8	3	5	1	8	13	0	6	6	10	8	0	8	0	8		0,133333333	0,533333333	0,2	0,333333333	0,066666667	0,533333333	0,866666667	0	0,4	0,4	0,666666667	0,533333333	0	0,533333333	0	0,533333333
I	5	12	3	7	2	10	5	5	4	13	3	9	2	8	4	10		0,333333333	0,8	0,2	0,466666667	0,133333333	0,666666667	0,333333333	0,333333333	0,266666667	0,866666667	0,2	0,6	0,133333333	0,533333333	0,266666667	0,666666667
D	4	11	6	8	6	10	6	2	6	10	3	7	3	7	3	9		0,266666667	0,733333333	0,4	0,533333333	0,4	0,666666667	0,4	0,133333333	0,4	0,666666667	0,2	0,466666667	0,2	0,466666667	0,2	0,6
N	7	11	6	6	3	5	9	4	6	4	4	10	6	10	2	8		0,466666667	0,733333333	0,4	0,4	0,2	0,333333333	0,6	0,266666667	0,4	0,266666667	0,266666667	0,666666667	0,4	0,666666667	0,133333333	0,533333333
G	2	1	3	1	1	8	6	6	6	6	5	9	1	7	5	10		0,133333333	0,066666667	0,2	0,066666667	0,066666667	0,533333333	0,4	0,4	0,4	0,4	0,333333333	0,6	0,066666667	0,466666667	0,333333333	0,666666667
S	4	11	5	8	3	8	8	6	9	5	6	6	0	8	9	7		0,266666667	0,733333333	0,333333333	0,533333333	0,2	0,533333333	0,533333333	0,4	0,6	0,333333333	0,4	0,4	0	0,533333333	0,6	0,466666667
B	4	2	5	4	4	8	7	6	6	7	6	6	2	8	7	10		0,266666667	0,133333333	0,333333333	0,266666667	0,266666667	0,533333333	0,466666667	0,4	0,4	0,466666667	0,4	0,4	0,133333333	0,533333333	0,466666667	0,666666667
A	1	1	3	2	1	8	2	2	2	8	2	8	1	6	2	7		0,066666667	0,066666667	0,2	0,133333333	0,066666667	0,533333333	0,133333333	0,133333333	0,133333333	0,533333333	0,133333333	0,533333333	0,066666667	0,4	0,133333333	0,466666667
J	2	2	4	4	2	10	6	2	6	12	4	8	1	6	1	7		0,133333333	0,133333333	0,266666667	0,266666667	0,133333333	0,666666667	0,4	0,133333333	0,4	0,8	0,266666667	0,533333333	0,066666667	0,4	0,066666667	0,466666667
M	11	15	13	9	7	13	2	6	2	12	1	9	8	1	1	8		0,733333333	1	0,866666667	0,6	0,466666667	0,866666667	0,133333333	0,4	0,133333333	0,8	0,066666667	0,6	0,533333333	0,066666667	0,066666667	0,533333333
